Yorum,Duygu,Kategori,Örnek Yanıt
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, otelimizde gerçekleştirdiğiniz konaklamanızın beklentilerinizin altında kalmasından dolayı derin bir üzüntü duyuyoruz. Yemeklerimizin sıcaklığı ve oda temizliği gibi konularda belirttiğiniz aksaklıklar ilgili departman müdürlerimize iletilmiş olup, gerekli düzeltici önlemler derhal alınmıştır. Sizleri gelecekte otelimizde tekrar ağırlayarak bu olumsuz deneyimi telafi etme fırsatını bizlere sunmanızı dileriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Negatif,Genel,"Değerli Misafirimiz, konaklamanız hakkındaki geri bildiriminiz için teşekkür ederiz. Hizmet kalitemizi ve misafir deneyimimizi her geçen gün artırmak adına paylaştığınız görüşleri hassasiyetle değerlendireceğiz. Sizleri gelecekte otelimizde tekrar ağırlayarak beklentilerinizin çok daha üzerinde bir konaklama deneyimi sunmayı dileriz."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, değerli vaktinizi ayırarak paylaştığınız bu harika geri bildirim için çok teşekkür ederiz. Ekibimizin gösterdiği yakın ilgi ve alakanın sizleri memnun etmesi bizleri son derece gururlandırdı. Sizleri en kısa sürede otelimizde tekrar ağırlamaktan büyük mutluluk duyacağız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, tesisimizde gerçekleştirdiğiniz konaklamanın ardından paylaştığınız geri bildirimler için teşekkür ederiz. Hizmet standartlarımızın son derece altında kalan yemek sıcaklığı ve oda temizliği konusundaki deneyimleriniz bizleri derhal harekete geçirmiştir. Bahsettiğiniz aksaklıkların hızla giderilmesi ve sizlere gelecekte hak ettiğiniz kalitede bir konaklama deneyimi sunabilmek adına ilgili departman yöneticilerimizle gerekli aksiyon planlarını başlattığımızı bilmenizi isteriz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Pozitif,Genel,"Sayın Misafirimiz, otelimizdeki konaklama deneyiminizle ilgili değerli geri bildirimleriniz için teşekkür ederiz. Sunduğumuz fiyat/performans dengesinin beklentinizi karşılamasından memnuniyet duyarken, hizmet standartlarımızı her zaman daha da yukarı taşımayı hedeflediğimizi belirtmek isteriz. Sizleri bir sonraki konaklamanızda çok daha kusursuz bir deneyimle ağırlamaktan mutluluk duyacağız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Sayın Misafirimiz, otelimizde gerçekleştirdiğiniz konaklamaya dair bu harika geri bildiriminiz için içtenlikle teşekkür ederiz. Personelimizin gösterdiği ilgi ve profesyonelliğin sizleri memnun etmesi, tüm çalışma arkadaşlarımız için büyük bir motivasyon kaynağı olmuştur. Sizleri en kısa sürede otelimizde yeniden ağırlamaktan büyük bir mutluluk duyacağız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, konaklamanız süresince beklentilerinizi karşılayamadığımız ve sizi hayal kırıklığına uğrattığımız için derin bir üzüntü duyuyoruz. Yemeklerin sıcaklığı ve oda temizliği konusundaki geri bildirimleriniz ilgili departman yöneticilerimize iletilmiş olup, gerekli düzeltici önlemler derhal alınmıştır. Sizleri gelecekte standartlarımıza yakışır bir hizmetle tekrar ağırlayabilmeyi ve kendimizi affettirebilmeyi ümit ederiz."
"Fena değildi, idare eder.  Daha iyi olabilirdi ama fiyat/performans normal.",Negatif,Genel,"Sayın Misafirimiz, konaklama deneyiminize dair değerli geri bildirimlerinizi paylaştığınız için teşekkür ederiz. Fiyat/performans dengemizi makul bulmakla birlikte, hizmet standartlarımızı daha da yükseltmek amacıyla görüşlerinizi ilgili tüm departmanlarımızla paylaştık. Sizleri gelecekteki ziyaretlerinizde beklentilerinizin ötesinde bir hizmet kalitesiyle ağırlamaktan memnuniyet duyacağız."
Harika bir deneyimdi!   Personel çok ilgiliydi... Herkese tavsiye ederim!!,Pozitif,Personel,"Değerli Misafirimiz, otelimizde gerçekleştirdiğiniz konaklamaya dair bu harika geri bildiriminiz için içtenlikle teşekkür ederiz. Ekibimizin gösterdiği yakın ilgi ve alakanın sizleri memnun etmesi bizleri son derece gururlandırdı; güzel yorumlarınızı tüm çalışma arkadaşlarımızla paylaşacağız. Sizleri en kısa sürede otelimizde tekrar ağırlamaktan büyük bir mutluluk duyacağız."
"Berbat bir yer. Yemekler soğuktu, odalar pislik içinde.,,",Negatif,Genel,"Sayın Misafirimiz, otelimizdeki konaklamanıza dair geri bildiriminiz için teşekkür ederiz. Yemeklerimiz ve oda temizliğimiz konusunda beklentilerinizin gerisinde kalmış olmaktan dolayı derin bir üzüntü duyduğumuzu belirtmek isteriz; yaşadığınız bu olumsuz deneyimle ilgili gerekli aksiyonlar departman yöneticilerimiz tarafından ivedilikle alınmıştır. Sizleri gelecekte tekrar ağırlayarak standartlarımıza yakışır bir hizmet sunabilmeyi ve kendimizi affettirebilmeyi ümit ediyoruz."
